lineage1,lineage2,contig,left,right,time
228,230,1,2919244,3291871,298
228,230,1,1536056,1589381,298
228,230,1,2307678,2515187,298
228,230,1,1228055,1426623,298
228,230,1,934415,946453,298
228,230,1,322552,715498,298
228,230,1,1,54742,298
228,230,1,54743,129668,55
228,230,1,129669,322551,55
228,230,1,715499,934414,55
228,230,1,946454,1049440,55
228,230,1,1728323,2307677,55
