age_year,prop_death
1,0.07368482
2,0.011253173
3,0.011381248
4,0.011512272
5,0.011646348
6,0.003278764
7,0.00328955
8,0.003300407
9,0.003311336
10,0.003322337
11,0.001612468
12,0.001615073
13,0.001617685
14,0.001620306
15,0.001622936
16,0.003175338
17,0.003185453
18,0.003195633
19,0.003205877
20,0.003216188
21,0.004068003
22,0.004084619
23,0.004101372
24,0.004118262
25,0.004135293
26,0.004548236
27,0.004569017
28,0.004589988
29,0.004611153
30,0.004632515
31,0.004819572
32,0.004842913
33,0.004866481
34,0.004890279
35,0.004914311
36,0.005406128
37,0.005435513
38,0.005465219
39,0.005495252
40,0.005525617
41,0.006749278
42,0.00679514
43,0.00684163
44,0.00688876
45,0.006936545
46,0.007847655
47,0.007909728
48,0.007972791
49,0.008036867
50,0.008101982
51,0.011249794
52,0.011377792
53,0.011508736
54,0.011642729
55,0.011779879
56,0.016061145
57,0.016323316
58,0.016594188
59,0.016874202
60,0.017163827
61,0.023999648
62,0.024589795
63,0.025209696
64,0.02586166
65,0.026548242
66,0.035850658
67,0.037183719
68,0.038619744
69,0.040171144
70,0.041852402
71,0.056155283
72,0.059496315
73,0.063260055
74,0.067532142
75,0.072423024
76,0.086092836
77,0.094203043
78,0.104000176
79,0.116071648
80,0.131313412
81,0.122015302
82,0.138972015
83,0.161402437
84,0.192467095
85,0.238339631
86,0.200000362
87,0.250000566
88,0.33333434
89,0.500002264
90,1
